numero_cartao,validade,limite,data_abertura,id_conta
2461 7578 1639 2123,2029-07-03,25586.287045778066,2021-07-03,12428473-2
3424 991892 28944,2027-04-27,41660.03358538409,2019-04-27,18849454-4
2244 6848 7465 0446,2030-07-17,23854.114988642516,2022-07-17,14724496-3
3714 673172 38915,2028-06-25,9309.1294203559,2020-06-25,73691423-X
3436 661204 11503,2028-12-22,23320.401983380456,2020-12-22,66972173-X
3487 881557 19652,2028-07-31,24405.13789167619,2020-07-31,83752264-3
3781 330513 87952,2028-06-09,34124.68830075527,2020-06-09,50695645-9
3467 908134 16293,2028-04-28,44851.424751166836,2020-04-28,37830070-7
2552 3321 7162 4328,2027-04-14,13767.508092984393,2019-04-14,19342319-4
5473 1890 8883 6620,2030-02-06,19275.29413552211,2022-02-06,23170021-5
4216 7941 5782 8344,2028-01-11,42907.24922604249,2020-01-11,57184212-X
2298 9874 8883 1103,2029-05-15,46485.30889107701,2021-05-15,25576300-7
3787 746987 19824,2030-06-06,46566.60442460369,2022-06-06,51707636-X
3497 612868 49523,2028-09-20,11182.001854070473,2020-09-20,06673284-1
3793 886771 22162,2029-12-09,48317.66982582077,2021-12-09,83794677-9
4789 3444 4205 8732,2030-11-15,34419.377508958634,2022-11-15,36642974-X
2256 7364 1754 4521,2030-01-28,39822.515583914654,2022-01-28,71110251-9
3447 033875 31001,2030-11-03,32928.88502148489,2022-11-03,16899568-X
3416 244371 19071,2030-10-21,29731.350634061262,2022-10-21,59042184-6
3440 359622 52905,2027-12-30,40115.179843627884,2019-12-30,12856878-8
4239 7319 8497 7350,2028-12-17,39998.121712013504,2020-12-17,13158262-7
4743 2255 7206 8671,2028-11-26,1499.468575515361,2020-11-26,96663455-6
5313 0991 2339 3244,2029-05-23,27734.387547775168,2021-05-23,80961025-2
4385 0910 5644 4637,2030-01-21,26835.061644201276,2022-01-21,44845895-1
3461 972856 41491,2028-11-06,32880.59168685325,2020-11-06,97370449-4
4729 5492 9468 3352,2029-02-22,11325.057633594379,2021-02-22,54577212-6
4404 3644 8144 4002,2029-02-19,30181.89766850253,2021-02-19,11565734-4
2719 8112 7698 7078,2028-02-20,44451.70989736139,2020-02-20,53071808-4
3431 224937 87756,2027-08-17,42583.91542425887,2019-08-17,27295398-8
5597 9945 6712 4062,2027-08-14,42511.30797620191,2019-08-14,23514138-5
3454 138955 64580,2027-06-21,48195.72462582661,2019-06-21,69094098-8
4429 1275 9908 3090,2030-11-10,5502.5802086305075,2022-11-10,26171844-6
5187 8414 4183 6435,2028-12-05,43185.400535352834,2020-12-05,57184212-X
5436 7177 5870 2403,2029-12-30,3852.3198964677645,2021-12-30,20272658-4
4594 0316 1089 2787,2030-09-23,25474.346666108722,2022-09-23,22200831-9
3416 570402 85350,2029-04-17,27557.434238618753,2021-04-17,55976015-5
5140 0684 1094 1378,2028-02-14,16971.734174749894,2020-02-14,39945202-8
4182 0805 8071 2457,2028-04-23,44030.094042177945,2020-04-23,23537653-8
4762 6782 1060 8470,2027-02-20,21143.563448796616,2019-02-20,83514372-6
3708 073439 79431,2030-05-18,34559.42616549718,2022-05-18,86130597-7
2443 1404 0820 5933,2030-02-14,33072.92005866674,2022-02-14,88828111-3
