nome,cpf,data_nasc,email,tel
Heldo Matsuschita,13275725165,2001-03-02,prompt1838@outlook.com,+5548973255542
Denil Siqueira,18041475086,1987-10-08,promised2070@yandex.com,+5517933001443
Isaac Toze,55860200765,1997-11-22,peaceful1848@live.com,+5569948820126
Omer Aggrizzi,75255409421,1945-07-12,combine1899@outlook.com,+5528939381809
Lucinda Romanholi,36528440760,1974-10-27,ran2009@live.com,+5555907810141
Lisete Bassul,49524489244,2005-08-15,entrepreneur1985@protonmail.com,+5565941358997
Damasceno Madureira,40231548818,1948-05-01,knife1823@outlook.com,+5508950546409
Egas Ogura,97000902566,1965-02-17,platform1843@live.com,+5539965526560
Estefânia Tolfano,60006661874,1998-10-10,walnut2094@duck.com,+5544949337674
Regino do Bonfim,78886455933,2006-07-14,requests1811@protonmail.com,+5545984518692
Santa Rita Perreira,64117224204,1955-09-23,queen1911@yahoo.com,+5541922994400
Davina Perdigão,04182025326,1992-05-16,glasgow2061@live.com,+5589988565993
Máximo Pinto,27455201133,1998-08-21,lazy2100@example.com,+5539938832027
Teresina Tonet,39621208580,1973-02-02,updated2060@yahoo.com,+5571927383697
Cloe Marangon,32048331866,1998-05-14,usually1814@example.org,+5561904949042
Laurénio Cevolani,11170379400,1959-07-28,slovak1966@protonmail.com,+5513984065963
Célia Jensdatter,46079784262,1966-08-30,ahead2069@outlook.com,+5551990804776
Ardingue de Alvarenga,54945343594,1977-05-16,pest1913@protonmail.com,+5526972152996
Jamília Cassini,01236674960,1947-01-19,downloading1880@yandex.com,+5579910908858
Ândria Moresco,47231749828,1952-10-29,cargo2020@example.org,+5541990891590
Selésio Moscon,57342265489,1989-09-16,outdoor2083@example.org,+5504934703947
Estefânio Bedore,12882897235,1995-04-01,magnitude1983@live.com,+5588920181706
Vera Lúcia Pastore,10709774974,1962-03-28,knowledge2024@live.com,+5502932424708
Taciano Brioschi,65172689524,1948-07-11,attribute1972@yahoo.com,+5569986072268
Perfeito Monente,84940123804,1950-09-11,orientation1901@yandex.com,+5596958301991
Nazarina Basoni,56593090549,1945-04-29,date1881@yandex.com,+5532998377398
Marcelo Puppim,77278728223,1960-12-02,controls2064@yandex.com,+5571965556280
Grácia Olausdatter,12792513101,1973-01-20,coverage1924@yandex.com,+5555987521087
Boanerges Handler,88179926311,1950-03-13,growth1902@outlook.com,+5549905452010
Rodriga Da Dalt,62041984163,1963-03-21,gregory1918@example.com,+5526978553356
Oureana Bortolot,66790260080,2007-10-20,hats1942@yahoo.com,+5525908451124
Bertoldo Malini,32020400146,1965-09-01,designed1871@example.com,+5561951496796
Agnelo de Nadai,81334572208,1985-02-12,eco1885@yandex.com,+5526951256523
Aquiles Beltrame,56665318753,1949-01-26,follows1971@outlook.com,+5563927926242
Lízi Tronerin???,25040733569,1996-02-11,observe2091@protonmail.com,+5557993303201
Jamila Peretti,81109398808,1994-04-05,confusion1972@gmail.com,+5579959146645
Amável Coco,60758531206,1948-06-24,herald2037@protonmail.com,+5599918082348
Aminadabe Butler,15045998889,1947-10-15,advanced1879@gmail.com,+5567946378325
Leonor Jacoboski,05399319691,1995-04-20,repeat2096@yahoo.com,+5517958483794
Elva Furtado,41200208510,1988-09-16,insulation1971@gmail.com,+5594941653030
Adeodato Batista,83584048591,1956-06-18,sought2095@protonmail.com,+5522922499028
Daisi Rassato,59844065780,1996-10-06,healthy2048@yandex.com,+5583982061917
Cândida Marchese,06184485199,1956-08-25,tension2095@example.org,+5520990342079
Aires&nbsp; Cassini,72061236944,1980-11-28,sporting1839@yahoo.com,+5556903771307
Darci Ton,15413672861,1971-11-22,eds2079@yahoo.com,+5505914187291
Roli Orsato,33256206808,1993-11-22,streaming2010@yandex.com,+5536907903420
Xénio Marim,24669140698,1997-03-10,sexuality1836@yandex.com,+5564936070053
Semíramis De Vecchi,85510543418,1947-12-04,kong2042@protonmail.com,+5561998678672
Bárbara Flozillo,51146517734,1996-05-25,electric1942@gmail.com,+5565977272091
